Geoplaces Place ID's,Parking Place ID's,,,,,
,133020,,,,,
,133021,,,,,
,133022,,,,,
,133023,,,,,
,133024,,,,,
,133025,,,,,
,133026,,,,,
,133027,,,,,
,133028,,,,,
,133029,,,,,
,133030,,,,,
,133031,,,,,
,133032,,,,,
,133033,,,,,
,133034,,,,,
,133035,,,,,
,133036,,,,,
,133037,,,,,
,133038,,,,,
,133039,,,,,
,133040,,,,,
,133041,,,,,
,133042,,,,,
,133043,,,,,
,133047,,,,,
,133048,,,,,
,133049,,,,,
,134970,,,,,
,134971,,,,,
,134972,,,,,
,134973,,,,,
,134974,,,,,
,134975,,,,,
,134976,,,,,
,134977,,,,,
,134978,,,,,
,134979,,,,,
,134980,,,,,
,134981,,,,,
,134982,,,,,
,134983,,,,,
,134984,,,,,
,134985,,,,,
,134986,,,,,
,134987,,,,,
,134988,,,,,
,134989,,,,,
,134990,,,,,
,134991,,,,,
,134992,,,,,
,134993,,,,,
,134994,,,,,
,134995,,,,,
,134996,,,,,
,134997,,,,,
,134998,,,,,
,134999,,,,,
,135000,,,,,
,135001,,,,,
,135002,,,,,
,135003,,,,,
,135004,,,,,
,135005,,,,,
,135006,,,,,
,135007,,,,,
,135008,,,,,
,135009,,,,,
,135010,,,,,
,135011,,,,,
,135012,,,,,
,135013,,,,,
,135014,,,,,
,135015,,,,,
,135016,,,,,
,135017,,,,,
,135018,,,,,
,135019,,,,,
,135020,,,,,
,135021,,,,,
,135022,,,,,
,135023,,,,,
,135024,,,,,
,135025,,,,,
,135026,,,,,
,135027,,,,,
,135028,,,,,
,135029,,,,,
,135030,,,,,
,135031,,,,,
,135032,,,,,
,135033,,,,,
,135034,,,,,
,135035,,,,,
,135036,,,,,
,135037,,,,,
,135038,,,,,
,135039,,,,,
,135040,,,,,
,135041,,,,,
,135042,,,,,
,135043,,,,,
,135044,,,,,
,135045,,,,,
,135046,,,,,
,135047,,,,,
,135048,,,,,
,135049,,,,,
,135050,,,,,
,135051,,,,,
,135052,,,,,
,135053,,,,,
,135054,,,,,
,135055,,,,,
,135056,,,,,
,135057,,,,,
,135058,,,,,
,135059,,,,,
,135060,,,,,
,135061,,,,,
,135062,,,,,
,135063,,,,,
,135064,,,,,
,135065,,,,,
,135066,,,,,
,135067,,,,,
,135068,,,,,
,135069,,,,,
,135070,,,,,
,135071,,,,,
,135072,,,,,
,135073,,,,,
,135074,,,,,
,135075,,,,,
,135076,,,,,
,135077,,,,,
,135078,,,,,
,135079,,,,,
,135080,,,,,
,135081,,,,,
,135082,,,,,
,135084,,,,,
,135085,,,,,
,135086,,,,,
,135088,,,,,
,135089,,,,,
,135090,,,,,
,135091,,,,,
,135092,,,,,
,135093,,,,,
,135094,,,,,
,135097,,,,,
,135098,,,,,
,135099,,,,,
,135100,,,,,
,135101,,,,,
,135102,,,,,
,135103,,,,,
,135104,,,,,
,135105,,,,,
,135106,,,,,
,135107,,,,,
,135108,,,,,
,135109,,,,,
,135110,,,,,
,135111,,,,,
